Address,Neighborhood,Lat,Lon,Value23,Value24,Tax23,Tax24
"1 Algonquin Road Cape Elizabeth, ME 04107",U12,43.5795435,-70.2101953,368400,817500,8230,8718
"1 Arlington Lane Cape Elizabeth, ME 04107",U23,43.599201,-70.2317245,505500,782400,11293,8606
"1 Autumn Tides Lane Cape Elizabeth, ME 04107",R05,43.5920243,-70.2535368,822200,1478800,18368,16267
"1 Avon Road Cape Elizabeth, ME 04107",U12,43.5810901,-70.2126786,454200,1009600,10147,10831
"1 Bacchus Place Cape Elizabeth, ME 04107",R09,43.5865374,-70.2380874,1218100,2515500,27212,27671
"1 Baker Road Cape Elizabeth, ME 04107",U03,43.6300793,-70.227516,508900,962600,11369,10314
"1 Bayberry Lane Cape Elizabeth, ME 04107",U19,43.5825507,-70.2274207,291700,614600,6517,6761
"1 Beacon Lane Cape Elizabeth, ME 04107",U15,43.5647505,-70.2017141,882800,1357400,19722,14590
"1 Birch Knolls Cape Elizabeth, ME 04107",U05,43.6273203,-70.2177667,468100,1249200,10457,13741
"1 Birchwood Road Cape Elizabeth, ME 04107",U03,43.6320739,-70.2262567,290100,827400,6481,8826
"1 Bruce Avenue Cape Elizabeth, ME 04107",U24,43.6060655,-70.2371419,170800,501800,3816,5179
"1 Canter Lane Cape Elizabeth, ME 04107",U23,43.599465,-70.228598,164600,359000,3677,3949
"1 Canterbury Way Cape Elizabeth, ME 04107",U29,43.5970756,-70.2232589,401800,753400,8976,8287
"1 Cape Woods Drive Cape Elizabeth, ME 04107",U33,43.6263995,-70.2330402,276400,700600,6175,7432
"1 Cardinal Lane Cape Elizabeth, ME 04107",R05,43.5960978,-70.2595353,778800,1294400,17398,13963
"1 Caydens Way Cape Elizabeth, ME 04107",U28,43.616667,-70.247072,359200,844100,8025,9285
"1 Cedar Ledge Road Cape Elizabeth, ME 04107",U04,43.6271898,-70.2246955,585400,1183700,13078,12746
"1 Charles E Jordan Road Cape Elizabeth, ME 04107",R08,43.5760874,-70.2510233,179500,389900,4010,4289
"1 Charles Road Cape Elizabeth, ME 04107",U01,43.6329701,-70.2266274,287200,759300,6416,8077
"1 Chesterwood Road Cape Elizabeth, ME 04107",U59,43.5972114,-70.2636747,552600,1144400,12345,12588
"1 Chimney Rock Road Cape Elizabeth, ME 04107",U08,43.613238,-70.2129905,1002800,2195700,22403,23878
"1 City View Road Cape Elizabeth, ME 04107",U03,43.6304328,-70.2273006,304500,762600,6803,8114
"1 Clinton Road Cape Elizabeth, ME 04107",U24,43.6032202,-70.234156,247700,573500,5534,6309
"1 Columbus Road Cape Elizabeth, ME 04107",U32,43.6210674,-70.2342025,325800,676800,7278,7170
"1 Cottage Lane Cape Elizabeth, ME 04107",U05,43.6263578,-70.2165184,374000,1119800,8355,11977
"1 Cove View Road Cape Elizabeth, ME 04107",U56,43.5696759,-70.2115837,841500,1957800,18799,21536
"1 Crescent Road Cape Elizabeth, ME 04107",U02,43.6337514,-70.2252464,198800,693300,4441,7351
"1 Crescent View Ave Cape Elizabeth, ME 04107",U16,43.5693364,-70.2225846,360900,827800,8063,8831
"1 Davis Point Lane Cape Elizabeth, ME 04107",U18,43.5747461,-70.222905,218600,763800,4884,8402
"1 Dean Way Cape Elizabeth, ME 04107",U18,43.5750751,-70.220203,244500,624700,5462,6872
"1 Deer Run Road Cape Elizabeth, ME 04107",R05,43.5975387,-70.2487755,362900,739800,8107,8138
"1 Dermot Drive Cape Elizabeth, ME 04107",U29,43.6218722,-70.2415366,378700,838700,8460,8854
"1 Dipper Road Cape Elizabeth, ME 04107",R04,43.6080886,-70.2576926,296800,762400,6631,8386
"1 Driftwood Lane Cape Elizabeth, ME 04107",R02,43.5864368,-70.2207481,800100,2330800,17874,25364
"1 Elizabeth Road Cape Elizabeth, ME 04107",U03,43.6310426,-70.2246592,578600,1194300,12926,12862
"1 Elmwood Road Cape Elizabeth, ME 04107",U03,43.6318661,-70.2262528,163700,670700,3657,7103
"1 Erie Road Cape Elizabeth, ME 04107",U28,43.6207964,-70.2492043,180900,513800,4041,5377
"1 Farm Hill Road Cape Elizabeth, ME 04107",U21,43.5953772,-70.2335486,144200,391000,3221,4301
"1 Fenway Road Cape Elizabeth, ME 04107",U44,43.5807486,-70.2341189,184200,517000,4115,5412
"1 Fernwood Lane Cape Elizabeth, ME 04107",U34,43.632516,-70.2336524,307500,402700,6870,4430
"1 Franklin Circle Cape Elizabeth, ME 04107",U49,43.6215665,-70.2406968,195700,268500,4372,2679
"1 Garden Lane Cape Elizabeth, ME 04107",U05,43.6275361,-70.2144579,711900,1748400,15904,18924
"1 Gateledge Drive Cape Elizabeth, ME 04107",U50,43.6198841,-70.2308799,474400,1000300,10598,10728
"1 Geldert Lane Cape Elizabeth, ME 04107",U04,43.6265483,-70.2189723,410600,1026100,9173,11287
"1 Glos Way Cape Elizabeth, ME 04107",U49,43.6206495,-70.2420715,699000,1593800,15616,16982
"1 Granite Ridge Road Cape Elizabeth, ME 04107",U50,43.6188206,-70.2277155,1370400,2303400,30614,24788
"1 Great Pond Drive Cape Elizabeth, ME 04107",R06,43.581483,-70.2329347,349600,692600,7810,7618
"1 Hampton Road Cape Elizabeth, ME 04107",U19,43.5817509,-70.2277965,442000,1020600,9874,11226
"1 Harvest Lane Cape Elizabeth, ME 04107",R04,43.6144174,-70.2528645,394200,912900,8806,9767
"1 Headland Lane Cape Elizabeth, ME 04107",U49,43.6199296,-70.2424989,360500,717800,8054,7896
"1 Hemlock Hill Road Cape Elizabeth, ME 04107",U33,43.6251283,-70.2331269,284300,548100,6351,5754
"1 High Bluff Road Cape Elizabeth, ME 04107",U04,43.6268442,-70.2230613,217300,639800,4854,7038
"1 High View Road Cape Elizabeth, ME 04107",U42,43.5848028,-70.2137196,419000,816600,9360,8649
"1 Hunts Point Road Cape Elizabeth, ME 04107",U38,43.5747209,-70.2031146,1759800,5397500,39314,59373
"1 Ivie Road Cape Elizabeth, ME 04107",U04,43.6262247,-70.2219705,322500,887200,7205,9484
"1 Jewett Road Cape Elizabeth, ME 04107",U19,43.5841168,-70.2293801,182900,481400,4086,5295
"1 Ledgewood Lane Cape Elizabeth, ME 04107",U36,43.5753028,-70.2117564,535700,1251000,11968,13486
"1 Legacy Way Cape Elizabeth, ME 04107",U20,43.5887691,-70.2356288,101300,225100,2263,2476
"1 Longfellow Drive Cape Elizabeth, ME 04107",U21,43.595508,-70.2361191,154500,470900,3452,4839
"1 Lydon Lane Cape Elizabeth, ME 04107",U33,43.62639,-70.2354508,808400,1159700,18060,12482
"1 Maiden Cove Lane Cape Elizabeth, ME 04107",U05,43.6277611,-70.2155598,609300,1807700,13612,19610
"1 Manor Way Cape Elizabeth, ME 04107",U30,43.6106232,-70.2215311,778600,1543500,17394,16979
"1 Maplewood Road Cape Elizabeth, ME 04107",U03,43.6314071,-70.2280093,257100,792700,5744,8720
"1 Masefield Terrace Cape Elizabeth, ME 04107",U38,43.5713692,-70.2052246,618300,1398000,13813,15103
"1 Mckenney Point Road Cape Elizabeth, ME 04107",U41,43.5601416,-70.2101441,447400,930000,9995,9955
"1 Meadowview Lane Cape Elizabeth, ME 04107",U31,43.6163076,-70.2322366,326900,651700,7303,6894
"1 Misty Lane Cape Elizabeth, ME 04107",U36,43.5771236,-70.2116446,509800,1374200,11389,15116
"1 Oakview Drive Cape Elizabeth, ME 04107",U25,43.607992,-70.23658,161900,342400,3617,3766
"1 Oakwood Road Cape Elizabeth, ME 04107",U24,43.6049009,-70.2345486,237500,530500,5306,5561
"1 Ocean House Road Cape Elizabeth, ME 04107",U28,43.621819,-70.2491412,258800,1052400,5782,10894
"1 Overlook Lane Cape Elizabeth, ME 04107",U12,43.5844049,-70.2086139,621600,1128800,13887,12073
"1 Peabbles Point Lane Cape Elizabeth, ME 04107",R03,43.5876452,-70.2060058,483600,1134200,10804,12476
"1 Peppergrass Road Cape Elizabeth, ME 04107",U60,43.599447,-70.2558312,664700,1297900,14849,14002
"1 Phantom Farm Road Cape Elizabeth, ME 04107",R03,43.5740982,-70.2168635,416900,907600,9314,9984
"1 Pheasant Hill Road Cape Elizabeth, ME 04107",R04,43.6026044,-70.2480185,227700,505700,5087,5288
"1 Pilot Point Road Cape Elizabeth, ME 04107",U12,43.5790967,-70.2112405,492300,996700,10998,10964
"1 Pine Point Road Cape Elizabeth, ME 04107",U35,43.598957,-70.2377068,368000,669400,8221,7363
"1 Pine Ridge Road Cape Elizabeth, ME 04107",U36,43.5753639,-70.2084195,477200,1030400,10661,11059
"1 Pleasant Valley Ave Cape Elizabeth, ME 04107",U24,43.6053963,-70.2364123,194300,532600,4341,5859
"1 Pond View Road Cape Elizabeth, ME 04107",U18,43.5759105,-70.2221251,217500,591100,4859,6502
"1 Quartz Knob Road Cape Elizabeth, ME 04107",U57,43.6154284,-70.2277928,765000,1537600,17090,16914
"1 Ram Island Farm Road Cape Elizabeth, ME 04107",R09,43.5591229,-70.2663975,638600,830600,14266,9137
